epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.74,0.52395,0.68196,0.82599,0.998,1,0.995,0.89787,0.4622,0.41701,0.81452,0.000665455,0.000665455,0.000665455
2,353.778,0.42607,0.33136,0.76731,0.9999,1,0.995,0.91701,0.42991,0.30418,0.8074,0.00132333,0.00132333,0.00132333
3,527.004,0.40961,0.27288,0.76365,1,0.99805,0.995,0.90827,0.43751,0.28042,0.807,0.0019724,0.0019724,0.0019724
4,713.975,0.38635,0.25187,0.75889,0.99955,1,0.995,0.93374,0.37906,0.23942,0.79928,0.0019604,0.0019604,0.0019604
5,902.353,0.33929,0.22026,0.75154,0.99986,1,0.995,0.93389,0.36352,0.21547,0.7965,0.0019472,0.0019472,0.0019472
6,1092.2,0.31712,0.20221,0.74744,0.99976,1,0.995,0.93252,0.35971,0.22273,0.79432,0.001934,0.001934,0.001934
7,1274.42,0.31959,0.19996,0.74799,1,0.99605,0.995,0.93658,0.36126,0.22346,0.79647,0.0019208,0.0019208,0.0019208
8,1461.43,0.29927,0.18969,0.74396,0.99959,0.9982,0.995,0.9453,0.33979,0.21895,0.79127,0.0019076,0.0019076,0.0019076
9,1647.41,0.27713,0.17756,0.7411,0.99796,1,0.995,0.95139,0.33031,0.19725,0.79103,0.0018944,0.0018944,0.0018944
10,1835.8,0.26983,0.17232,0.73915,0.99988,1,0.995,0.94128,0.33924,0.1955,0.79223,0.0018812,0.0018812,0.0018812
11,2023.69,0.25905,0.17154,0.73819,1,0.99969,0.995,0.95222,0.33519,0.19553,0.79104,0.001868,0.001868,0.001868
12,2213.44,0.258,0.16914,0.73745,0.99973,1,0.995,0.95335,0.31879,0.18858,0.78833,0.0018548,0.0018548,0.0018548
13,2402.44,0.23757,0.16294,0.73532,0.99953,1,0.995,0.94847,0.32355,0.18475,0.79061,0.0018416,0.0018416,0.0018416
14,2590.09,0.22858,0.15352,0.73456,1,0.9982,0.995,0.945,0.33299,0.18568,0.79241,0.0018284,0.0018284,0.0018284
15,2779.66,0.2267,0.15042,0.73364,0.99791,1,0.995,0.95293,0.32361,0.18669,0.78913,0.0018152,0.0018152,0.0018152
16,2968.14,0.21529,0.14584,0.73243,1,0.99794,0.995,0.944,0.3302,0.19031,0.79173,0.001802,0.001802,0.001802
17,3154.4,0.22096,0.14743,0.73301,0.99972,1,0.995,0.95505,0.31822,0.1763,0.78806,0.0017888,0.0017888,0.0017888
18,3342.44,0.21284,0.14488,0.73145,0.99991,1,0.995,0.95344,0.30829,0.17496,0.78855,0.0017756,0.0017756,0.0017756
19,3531.73,0.19938,0.13757,0.73087,0.99966,0.9982,0.995,0.95083,0.31972,0.17985,0.78949,0.0017624,0.0017624,0.0017624
20,3720.6,0.19615,0.13713,0.72994,0.99821,0.99983,0.995,0.95639,0.31498,0.16555,0.78848,0.0017492,0.0017492,0.0017492
21,3909.71,0.18168,0.13309,0.7283,0.99986,1,0.995,0.95739,0.31067,0.175,0.78833,0.001736,0.001736,0.001736
22,4095.62,0.17864,0.12897,0.72868,0.99811,1,0.995,0.95588,0.3064,0.16416,0.7876,0.0017228,0.0017228,0.0017228
23,4286.07,0.18406,0.13124,0.72834,0.99991,1,0.995,0.95575,0.30956,0.16674,0.78823,0.0017096,0.0017096,0.0017096
24,4476.45,0.16892,0.12389,0.72704,0.99821,0.99988,0.995,0.95658,0.30966,0.16677,0.78744,0.0016964,0.0016964,0.0016964
25,4667.75,0.17751,0.13068,0.72751,1,0.99986,0.995,0.95932,0.30113,0.15993,0.7877,0.0016832,0.0016832,0.0016832
26,4848.36,0.17115,0.12286,0.72728,0.9999,1,0.995,0.95246,0.31345,0.15908,0.78795,0.00167,0.00167,0.00167
27,5037.49,0.16797,0.12034,0.72696,0.99809,1,0.995,0.95425,0.3093,0.16303,0.78805,0.0016568,0.0016568,0.0016568
28,5224.1,0.16019,0.11806,0.72595,0.99821,0.99992,0.995,0.95589,0.30809,0.16142,0.78771,0.0016436,0.0016436,0.0016436
29,5412.43,0.1615,0.11906,0.72629,1,0.99983,0.995,0.96131,0.29714,0.15561,0.78621,0.0016304,0.0016304,0.0016304
30,5600.37,0.16551,0.12164,0.72653,1,0.99981,0.995,0.95461,0.31664,0.16428,0.79021,0.0016172,0.0016172,0.0016172
31,5790.34,0.17204,0.12361,0.72717,1,0.9999,0.995,0.95912,0.30629,0.1662,0.78773,0.001604,0.001604,0.001604
32,5984.46,0.15913,0.11457,0.72574,0.99997,1,0.995,0.9582,0.30917,0.15574,0.78824,0.0015908,0.0015908,0.0015908
33,6186.32,0.15068,0.11083,0.72511,0.99988,1,0.995,0.95809,0.30661,0.15125,0.78881,0.0015776,0.0015776,0.0015776
34,6384.87,0.14101,0.10727,0.7249,0.99803,0.9982,0.995,0.95931,0.29839,0.15396,0.78719,0.0015644,0.0015644,0.0015644
35,6583.69,0.15037,0.11381,0.72479,0.99953,0.9982,0.995,0.95756,0.30747,0.16428,0.78733,0.0015512,0.0015512,0.0015512
36,6780.84,0.14352,0.1131,0.72445,0.99961,1,0.995,0.95882,0.30093,0.15584,0.78729,0.001538,0.001538,0.001538
37,6978.74,0.13862,0.1086,0.72448,0.99804,1,0.995,0.95892,0.30325,0.1511,0.78618,0.0015248,0.0015248,0.0015248
38,7176.85,0.13406,0.10334,0.72398,0.99973,1,0.995,0.96433,0.28946,0.1478,0.78574,0.0015116,0.0015116,0.0015116
39,7373.42,0.13462,0.10466,0.72385,0.99821,0.99987,0.995,0.95669,0.30364,0.15622,0.78886,0.0014984,0.0014984,0.0014984
40,7554.59,0.13587,0.10389,0.72325,0.99975,1,0.995,0.95696,0.30621,0.15509,0.78794,0.0014852,0.0014852,0.0014852
41,7733.96,0.13618,0.10225,0.72407,0.9981,1,0.995,0.95704,0.30097,0.15489,0.7882,0.001472,0.001472,0.001472
42,7921.98,0.12949,0.10326,0.72354,1,0.99991,0.995,0.96025,0.2968,0.15595,0.78661,0.0014588,0.0014588,0.0014588
43,8120.35,0.12085,0.09752,0.72272,1,0.99976,0.995,0.96203,0.29243,0.14658,0.78642,0.0014456,0.0014456,0.0014456
44,8320.48,0.11472,0.09261,0.72277,0.99802,1,0.995,0.96059,0.29827,0.15086,0.78713,0.0014324,0.0014324,0.0014324
45,8519.25,0.11893,0.09566,0.72273,1,0.99988,0.995,0.9625,0.29837,0.15128,0.7867,0.0014192,0.0014192,0.0014192
46,8713.94,0.11623,0.09414,0.72279,0.99988,1,0.995,0.96132,0.29655,0.14892,0.78689,0.001406,0.001406,0.001406
47,8911.79,0.11841,0.09306,0.72267,0.99992,1,0.995,0.96343,0.29299,0.14738,0.78607,0.0013928,0.0013928,0.0013928
48,9110.2,0.11316,0.09515,0.72164,0.99993,1,0.995,0.96225,0.29337,0.14683,0.78615,0.0013796,0.0013796,0.0013796
49,9308.05,0.10311,0.08763,0.7217,0.99806,1,0.995,0.96222,0.29533,0.14456,0.78604,0.0013664,0.0013664,0.0013664
50,9507.53,0.10578,0.08667,0.72154,0.99989,1,0.995,0.96136,0.29719,0.14422,0.78693,0.0013532,0.0013532,0.0013532
51,9705.09,0.11045,0.08777,0.72197,0.99805,1,0.995,0.95953,0.29277,0.14362,0.78698,0.00134,0.00134,0.00134
52,9904.29,0.11273,0.08898,0.722,0.99982,1,0.995,0.96031,0.29175,0.14251,0.7865,0.0013268,0.0013268,0.0013268
53,10101.3,0.10723,0.0856,0.72186,0.99821,0.99995,0.995,0.96109,0.29669,0.14434,0.78632,0.0013136,0.0013136,0.0013136
54,10299.6,0.10696,0.08512,0.7221,0.99988,1,0.995,0.9603,0.29919,0.14744,0.7867,0.0013004,0.0013004,0.0013004
55,10496.8,0.10137,0.08467,0.72157,0.99987,1,0.995,0.96489,0.28728,0.13933,0.78626,0.0012872,0.0012872,0.0012872
56,10695.2,0.10501,0.08435,0.72205,0.99986,0.9982,0.995,0.95949,0.29993,0.14631,0.78759,0.001274,0.001274,0.001274
57,10893.1,0.11545,0.08972,0.72204,0.99998,1,0.995,0.96134,0.29668,0.14099,0.78703,0.0012608,0.0012608,0.0012608
58,11091.1,0.10409,0.08349,0.72145,1,0.99989,0.995,0.96065,0.29421,0.14318,0.78612,0.0012476,0.0012476,0.0012476
59,11272.8,0.1036,0.08348,0.72169,0.99988,1,0.995,0.96236,0.29459,0.14424,0.78669,0.0012344,0.0012344,0.0012344
60,11452.2,0.1028,0.08338,0.72163,0.99986,1,0.995,0.96165,0.29542,0.14147,0.78702,0.0012212,0.0012212,0.0012212
61,11642.6,0.10041,0.08345,0.72147,0.99989,1,0.995,0.96494,0.28632,0.1412,0.78598,0.001208,0.001208,0.001208
62,11841.8,0.09341,0.07999,0.72093,0.99972,1,0.995,0.96251,0.2891,0.14104,0.78686,0.0011948,0.0011948,0.0011948
63,12041.1,0.09703,0.08143,0.72152,0.99917,1,0.995,0.96147,0.29431,0.14103,0.7871,0.0011816,0.0011816,0.0011816
64,12239,0.09627,0.07837,0.72134,0.99813,1,0.995,0.96233,0.29025,0.13663,0.78624,0.0011684,0.0011684,0.0011684
65,12433,0.09866,0.07953,0.72135,0.99821,0.99992,0.995,0.96111,0.29511,0.13931,0.78725,0.0011552,0.0011552,0.0011552
66,12630.1,0.09539,0.0784,0.72144,0.99811,1,0.995,0.9631,0.28982,0.13865,0.78611,0.001142,0.001142,0.001142
67,12828.1,0.09454,0.07841,0.72122,0.99816,1,0.995,0.96403,0.2888,0.13917,0.78651,0.0011288,0.0011288,0.0011288
68,13025.8,0.08785,0.07403,0.72058,0.99983,1,0.995,0.96215,0.296,0.14192,0.78771,0.0011156,0.0011156,0.0011156
69,13236.7,0.09888,0.08073,0.72097,0.99981,1,0.995,0.95845,0.29936,0.14615,0.78685,0.0011024,0.0011024,0.0011024
70,13436.4,0.09908,0.08021,0.72087,0.99994,1,0.995,0.96181,0.29339,0.14104,0.78703,0.0010892,0.0010892,0.0010892
71,13641.7,0.09817,0.08233,0.72112,0.99997,1,0.995,0.96018,0.29579,0.14157,0.78727,0.001076,0.001076,0.001076
72,13839.9,0.09675,0.07698,0.72137,0.99989,1,0.995,0.96039,0.29375,0.14238,0.78663,0.0010628,0.0010628,0.0010628
73,14040.9,0.09114,0.07586,0.72083,0.99982,1,0.995,0.96379,0.29301,0.14249,0.78597,0.0010496,0.0010496,0.0010496
74,14240.3,0.08794,0.07485,0.72094,0.9998,1,0.995,0.9632,0.28853,0.14061,0.78597,0.0010364,0.0010364,0.0010364
75,14441.2,0.086,0.07404,0.72053,0.99981,1,0.995,0.96298,0.29304,0.13996,0.78704,0.0010232,0.0010232,0.0010232
76,14641.6,0.08004,0.07034,0.72019,0.99991,1,0.995,0.96284,0.29056,0.13848,0.7871,0.00101,0.00101,0.00101
77,14840.3,0.08091,0.0704,0.72007,0.99988,1,0.995,0.96398,0.28515,0.13524,0.7862,0.0009968,0.0009968,0.0009968
78,15024.8,0.07814,0.06852,0.71997,0.99995,1,0.995,0.96333,0.28759,0.13879,0.78573,0.0009836,0.0009836,0.0009836
79,15210.1,0.07927,0.06745,0.71966,0.9999,1,0.995,0.96637,0.28465,0.13617,0.78602,0.0009704,0.0009704,0.0009704
80,15410.2,0.07333,0.06456,0.71984,0.9999,1,0.995,0.96386,0.28681,0.13737,0.78564,0.0009572,0.0009572,0.0009572
81,15611.3,0.07243,0.06595,0.71966,0.9999,1,0.995,0.96485,0.28727,0.13498,0.78573,0.000944,0.000944,0.000944
82,15814,0.07096,0.06354,0.71988,0.99991,1,0.995,0.96407,0.28734,0.13551,0.78699,0.0009308,0.0009308,0.0009308
83,16013.9,0.07766,0.06802,0.72032,0.99989,1,0.995,0.96453,0.28777,0.1352,0.78543,0.0009176,0.0009176,0.0009176
84,16215.3,0.07126,0.06332,0.7195,0.99987,1,0.995,0.96384,0.28589,0.13781,0.78552,0.0009044,0.0009044,0.0009044
85,16414.1,0.07119,0.06272,0.71971,0.99989,1,0.995,0.9638,0.29022,0.13541,0.7859,0.0008912,0.0008912,0.0008912
86,16615.1,0.07125,0.06384,0.71971,0.99987,1,0.995,0.96131,0.29038,0.13578,0.78611,0.000878,0.000878,0.000878
